Frame 0: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 0: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 0: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 0: ('bank', 'stands', 'beside', 'river') → REJECTED (A↔B)
Frame 1: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 1: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 1: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 2: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 2: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 2: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 3: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 3: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 3: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 4: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 4: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 4: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 5: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 5: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 5: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 6: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 6: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 6: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 7: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 7: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 7: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 8: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 8: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 8: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 9: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 9: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 9: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 10: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 10: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 10: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 11: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 11: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 11: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 12: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 12: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 12: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 13: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 13: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 13: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 14: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 14: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 14: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 15: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 15: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 15: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 16: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 16: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 16: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 17: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 17: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 17: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 18: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 18: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 18: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 19: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 19: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 19: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 20: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 20: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 20: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 21: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 21: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 21: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 22: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 22: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 22: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 23: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 23: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 23: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 24: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 24: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 24: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 25: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 25: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 25: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 26: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 26: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 26: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 27: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 27: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 27: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 28: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 28: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 28: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 29: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 29: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 29: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 30: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 30: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 30: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 31: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 31: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 31: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 32: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 32: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 32: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 33: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 33: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 33: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 34: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 34: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 34: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 35: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 35: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 35: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 36: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 36: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 36: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 37: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 37: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 37: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 38: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 38: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 38: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 39: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 39: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 39: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 40: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 40: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 40: ('dog', 'chases', 'cat') → REJECTED (A↔B)
