Frame 0: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 0: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 0: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 0: ('light', 'carries', 'little weight') → ACCEPTED (A↔B) [ambiguous]
Frame 1: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 1: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 1: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 2: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 2: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 2: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 3: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 3: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 3: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 4: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 4: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 4: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 5: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 5: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 5: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 6: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 6: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 6: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 7: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 7: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 7: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 8: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 8: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 8: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 9: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 9: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 9: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 10: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 10: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 10: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 11: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 11: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 11: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 12: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 12: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 12: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 13: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 13: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 13: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 14: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 14: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 14: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 15: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 15: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 15: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 16: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 16: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 16: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 17: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 17: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 17: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 18: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 18: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 18: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 19: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 19: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 19: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 20: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 20: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 20: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 21: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 21: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 21: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 22: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 22: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 22: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 23: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 23: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 23: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 24: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 24: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 24: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 25: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 25: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 25: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 26: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 26: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 26: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 27: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 27: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 27: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 28: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 28: ('bird', 'flies', 'sky') → REJECTED (A↔B)
